Nome,Sqd,Gol,Assist,Presenze,Pr. Exp,MV,MVexp,FMV,FMVexp,FM eff Att,FM eff,Prz,Prz Medio,Prz mio,infortuni,Unit cost FMV,,,
Lautaro,,12,3,31,80,6.19,6.31,7.44,8.1,5.226,6.63,140,155,173,,0.05225806452,0.9,,
Thuram,,14,4,32,85,6.33,6.32,7.75,8,5.1925,6.5875,120,150,176,,0.05333333333,0.86,,
Kean,,19,2,32,85,6.42,6.23,8.08,8,5.159,6.545,125,143,170,,0.05594405594,0.9,,
Leao,,8,8,34,80,6.19,6.27,7.06,7.4,4.958,6.29,90,110,95,5a giornata,0.06727272727,0.58,,
Yildiz,,7,4,34,85,6.34,6.31,7.01,7.34,4.9178,6.239,85,100,123,,0.0734,0.58,,
David,,,,,70,,6.26,,7.73,4.9472,5.411,95,100,122,,0.0773,1.04,,
Hoilund,,9,2,30,70,6.12,6.19,7.07,7.5,4.6912,5.131,90,100,100,,0.075,0.77,,
Ferguson E.,,,,,75,,6.08,,7.43,4.8295,5.5725,80,95,76,,0.07821052632,0.73,,
Castellanos,,10,3,29,80,6.29,6.29,7.17,7.44,4.9104,5.952,100,90,97,,0.08266666667,0.79,,
Scamacca,,12,6,28,70,6.41,6.14,7.89,7.5,4.704,5.145,60,80,53,6a,0.09375,1.01,,
Berardi,,9,2,17,85,6.53,6.31,7.06,7.3,4.891,6.205,85,75,85,,0.09733333333,0.76,,
Soule,,5,5,23,70,6.24,6.28,7.04,7.2,4.608,5.04,65,70,78,,0.1028571429,0.64,,
Dybala,,6,3,20,50,6.48,6.46,7.48,7.59,4.554,3.795,50,60,65,inizio ottobre,0.1265,1.66,,
Lookman,,15,4,31,60,6.42,6.25,7.94,7.25,4.64,5.075,55,55,57,,0.1318181818,1.01,,
Openda,,,,,60,,6.33,,7.26,4.5446,4.398,55,50,57,,0.1452,1.19,,
Gimenez,,5,1,12,60,5.88,6.23,6.75,7.2,4.464,4.32,60,50,47,,0.144,1.02,,
Castro,,8,4,33,80,6.17,6.23,6.76,6.93,4.5738,5.544,45,47,69,,0.1474468085,0.26,,
Vlahovic,,10,3,25,60,6.12,6.15,7.38,7.36,4.416,3.68,45,45,60,,0.1635555556,1.73,,
De ketelaere,,7,5,34,80,6.19,6.16,6.94,6.94,4.554,5.52,40,41,71,6a,0.1692682927,0.36,,
Pellegrino,Par,3,0,11,80,6.14,6.06,6.86,6.85,4.521,5.48,45,40,33,,0.17125,0.01,,
Krstovic,,11,5,37,70,6.05,6.02,6.92,7.35,4.576,5.005,60,40,90,,0.18375,2.04,,
Nkunku,,,,,60,,6.32,,7.21,4.5322,4.386,50,40,58,,0.18025,1.47,,
Lucca,,12,0,33,50,6.11,6.21,7.05,7.27,4.5074,4.362,30,40,27,,0.18175,1.71,,
Pinamonti,,10,1,36,80,5.86,5.92,6.68,6.78,4.5426,5.763,45,34,41,,0.1994117647,-0.36,,
Vardy,,,,,70,,6,,6.8,4.352,4.76,33,30,22,,0.2266666667,-0.33,FMV 4/5/6 slot,Prz 4/5/6 slot
Zapata,,3,0,7,50,6.57,6.28,7.79,7.42,4.512,3.76,35,30,40,,0.2473333333,3.9,6.847916667,15.33333333
Dovbyk,,12,2,32,60,6,6.07,7.19,7.01,4.3462,4.206,35,28,12,,0.2503571429,1.28,,
Morata,,5,0,16,70,6.09,6.15,6.88,6.91,4.4224,4.837,35,25,33,,0.2764,0.64,,
Lukaku,,14,9,36,40,6.29,6.29,7.57,7.37,4.3906,3.028,20,22,20,dicembre,0.335,7.83,,
Esposito Se.,Cag,8,0,33,80,6.17,6.17,6.79,6.79,4.4814,5.432,23,20,32,,0.3395,-1.24,,
Douvikas,,2,1,12,60,6.21,6.16,6.75,6.78,4.2036,4.068,15,18,12,,0.3766666667,-2.55,,
Piccoli,,10,1,37,60,6,6,6.76,6.78,4.1788,4.044,20,16,31,,0.42375,-10.19,,
Laurientiè,,5,5,37,80,5.99,6.04,6.46,6.71,4.4418,5.384,20,15,20,,0.4553333333,-5.37,,
Bonny,,6,4,37,60,6.03,6.22,6.51,6.8,4.278,4.14,24,15,17,,0.4533333333,-14.37,,
Diao,,,,,50,,,,7.18,4.308,3.59,15,15,17,metà ottobre,0.4786666667,99.63,,
Colombo,,6,2,36,80,5.9,5.98,6.39,6.59,4.3494,5.272,15,13,16,,0.5069230769,-11.05,,
Camarda,,,,,60,,5.85,,6.55,4.061,3.93,15,13,9,,0.5038461538,-12.77,,
Dzeko,,,,,40,,6.24,,7,4.06,2.8,15,13,15,,0.5384615385,6.52,,
Dia,,9,4,35,60,6.01,6.05,6.87,6.9,4.34,4.2,30,12,20,,0.575,1.56,,
Davis,,2,1,16,70,6,6.1,6.38,6.6,4.224,4.62,25,10,25,,0.66,-4.65,,
Belotti,,2,0,12,70,5.96,6.07,6.42,6.43,4.1152,4.501,20,15,22,,0.4286666667,-125.37,,
Simeone,,,,,60,,6.2,,6.88,4.2656,4.128,10,10,25,,0.688,0.6,,
Nzola,,3,2,29,60,5.74,5.95,6.09,6.64,4.1168,3.984,10,10,17,,0.664,-3.9,,
Lang,,,,,50,,6.16,,6.88,4.128,3.44,15,10,7,,0.688,0.6,,
Giovane,,,,,70,,5.87,,6.67,4.2688,4.669,10,7,12,,0.9528571429,-2.13,,
J. Rodriguez,,,,,70,,6.04,,6.57,4.2048,4.599,10,7,10,,0.9385714286,-3.33,,
Adams,,9,4,35,50,6,6.04,6.76,6.82,4.2284,4.092,10,7,13,,0.9742857143,-0.33,,
