Nome,Sqd,Gol,Assist,Presenze,Pr. Exp,MV,MVexp,FMV,FMVexp,FM eff Att,FM eff,Prz,Prz Medio,Prz mio,infortuni,Unit Cost FMV,incremento/prz,,
Mctominay,,12,3,34,80,6.56,6.46,7.66,7.31,4.8246,5.848,70,82,106,,0.08914634146,1.1849,,
Paz N.,,6,7,33,85,6.38,6.38,6.95,7.1,4.686,5.68,70,80,91,,0.08875,0.9166,,
Pulisic,,11,8,34,80,6.38,6.25,7.49,7.34,4.9912,6.606,70,78,120,,0.0941025641,1.2998,,
Orsolini,,15,4,29,75,6.53,6.23,8.19,7.58,5.0028,6.064,75,75,113,,0.1010666667,1.7329,,
Zaccagni,,8,6,34,90,6.28,6.31,7.01,7.05,4.794,6.345,60,73,100,,0.09657534247,0.9393,,
Gudmundson,,6,1,21,70,6.12,6.22,6.98,7.15,4.752,5.76,50,67,65,,0.1067164179,1.2164,,
De Bruyne,,,,,75,,6.2,,7.04,4.576,5.28,60,67,70,,0.1050746269,1.0214,,
Conceicao,,3,3,25,65,6.12,6.15,6.5,6.77,4.2651,4.4005,30,48,38,,0.1410416667,0.8185,,
Calhanoglu,,5,6,28,80,6.34,6.28,6.89,6.9,4.554,5.52,30,45,70,,0.1533333333,1.2676,,
Barella,,3,6,33,80,6.26,6.23,6.65,6.52,4.3032,5.216,25,38,26,,0.1715789474,0.2052,,
Politano,,3,4,37,80,6.11,6.13,6.42,6.59,4.3494,5.272,20,35,36,,0.1882857143,0.5171,,
Thuram K.,,4,5,33,80,6.3,6.25,6.74,6.54,4.3164,5.232,25,34,32,,0.1923529412,0.3256,,
Odgaard,,6,2,28,70,6.14,6.09,6.84,6.85,4.4785,5.1675,30,34,24,,0.2026470588,1.8203,,
Rabiot,,,,,85,6.08,6.15,6.5,6.6,4.224,4.62,25,34,70,,0.1941176471,0.5819,,
Zhegrova,,,,,65,,6.15,,6.82,4.2966,4.433,20,30,34,,0.2273333333,1.8348,,
Isaksen,,4,1,37,70,6.05,6.12,6.34,6.61,4.2304,4.627,20,25,16,,0.2644,1.0145,,
Kone,,2,1,33,80,6.26,6.26,6.38,6.45,4.257,5.16,15,24,21,,0.26875,-0.1025,,
Modric,,,,,70,,6.25,,6.63,4.2432,4.641,15,24,27,,0.27625,1.2391,,
Zambo Anguissa,,6,4,35,80,6.41,6.22,6.97,6.58,4.3428,5.264,18,23,33,,0.2860869565,0.9362,,
Vlasic,,5,3,30,80,6.07,6.09,6.67,6.55,4.323,5.24,20,23,20,,0.2847826087,0.6946,,
Sucic,,,,,60,,6.13,,6.52,4.0424,3.912,12,23,15,,0.2834782609,0.453,,
Ederson,,4,2,36,80,6.17,6.1,6.49,6.37,4.2042,5.096,15,22,17,6a,0.2895454545,-0.8212,,
Tramoni,,,,,80,,5.91,,6.4,4.224,5.12,15,21,13,,0.3047619048,-0.612,,
Neres,,2,5,25,60,6.32,6.18,6.72,6.7,4.185,4.05,15,20,10,,0.335,2.5088,,
Saelemekers,,7,3,22,70,6.39,6.3,7.36,6.7,4.288,4.69,20,18,25,,0.3722222222,3.1854,,
Loftus-cheek,,0,0,18,70,5.86,6.09,5.78,6.45,4.128,4.515,17,18,11,,0.3583333333,-0.1854,,
Koopmeiners,,3,4,28,50,5.98,6.17,6.39,6.49,4.1478,4.014,10,18,13,,0.3605555556,0.3539,,
carboni v.,,2,2,25,60,6.03,6.05,6.32,6.44,3.9928,3.864,15,16,12,,0.4025,-0.4385,,
Atta,,0,0,23,80,6,6.05,5.89,6.44,4.2504,5.152,20,15,19,,0.4293333333,-0.5377,,
Stanciu,,,,,70,,6.06,,6.55,4.192,4.585,15,13,10,,0.5038461538,3.569,,
Rowe,,,,,60,,6.11,,6.58,4.1416,4.008,15,12,18,,0.5483333333,8.2059,,
Baturina,,,,,60,,6.08,,6.55,4.061,3.93,10,11,5,,0.5954545455,,,
Bernabè,,1,1,19,80,6.29,6,6.47,6.25,4.125,5,10,10,19,,0.625,,FMV 4/5/6 slot,Prz 4/5/6 slot
Frattesi,,5,1,23,60,6.02,6.14,6.72,6.69,4.1478,4.014,10,10,11,,0.669,,6.46375,10.58333333
Cornet,,2,1,6,60,6.08,6.04,7.25,6.57,4.0734,3.942,10,10,7,,0.657,,,
Maldini,,6,0,27,60,6.02,6.07,6.59,6.54,4.0548,3.924,10,10,6,,0.654,,,
Samardzic,,2,0,28,60,6.09,6.09,6.25,6.48,4.0176,3.888,10,10,10,,0.648,,,
Bailey,,,,,60,,6.1,,6.6,4.1168,3.984,10,9,13,fine settembre,0.7333333333,,,
Folorunsho,,5,1,33,80,6,5.98,6.41,6.25,4.125,5,11,8,14,,0.78125,,,
Dele-bashiru,,3,1,17,70,6.06,6.1,6.65,6.55,4.192,4.585,10,8,8,1 mese?,0.81875,,,
Fazzini,,4,1,20,60,6.42,6.15,6.98,6.55,4.061,3.93,10,8,8,,0.81875,,,
Gronbaek,,,,,60,,5.99,,6.19,3.8378,3.714,10,8,5,,0.77375,,,
Pasalic,,3,2,33,70,5.91,6.01,6.14,6.61,4.2432,4.641,15,7,16,,0.9442857143,,,
Vazquez,,,,,70,,6.02,,6.41,4.1024,4.487,20,7,10,,0.9157142857,,,
Oristanio,,3,3,37,70,6.05,6.02,6.34,6.41,4.1024,4.487,13,7,15,,0.9157142857,,,
Mandragora,,4,4,27,70,6.19,6,6.67,6.34,4.0576,4.438,9,7,15,,0.9057142857,,,
Vandeputte,,,,,70,,5.95,,6.25,4,4.375,15,7,15,,0.8928571429,,,
Collocolo,,,,,70,,5.91,,6.24,3.9936,4.368,7,7,7,6a?,0.8914285714,,,
Zalewski,ata,1,2,19,70,6.03,5.93,6.21,6.29,3.7386,3.618,5,7,11,1 mese?,0.8985714286,,,
Elsha,,3,3,21,50,6.19,6.14,6.71,6.79,4.134,3.445,8,7,8,,0.97,,,
Ellertson,,2,2,35,60,6.01,6.01,6.21,6.2,3.72,3.1,9,7,8,,0.8857142857,,,
Toure,Pis,,,,70,,5.95,,6.2,3.968,4.34,8,6,6,,1.033333333,,,
Casadei,,1,1,15,80,6.03,6.07,6.27,6.37,4.2042,5.096,10,5,10,,1.274,,,
Da cunha,,3,2,35,80,6.1,6.08,6.36,6.37,4.2042,5.096,10,5,11,,1.274,,,
Cristante,,4,3,37,80,6.2,6.15,6.59,6.36,4.1976,5.088,10,5,10,,1.272,,,
Thorstvedt,,6,1,34,70,5.94,5.92,6.4,6.13,3.9232,4.291,5,5,6,,1.226,,,
Mkhitarian,,1,5,32,60,6.06,6.1,6.25,6.55,4.061,3.93,3,5,3,,1.31,,,
Sohm,,4,0,37,60,6.03,6.01,6.26,6.32,3.9184,3.792,10,5,11,,1.264,,,
Elmas,,4,0,13,50,6.12,6.12,7.04,6.53,3.918,3.265,12,5,9,,1.306,,,
El Ayanaoi,rom,,,,50,,6.04,,6.33,3.798,3.165,5,5,5,,1.266,,,
