Nome,Sqd,Gol,Assist,Presenze,Pr. Exp,MV,MVexp,FMV,FMVexp,FM eff Att,FM eff,Prz,Prz Medio,Prz mio,infortuni,Unit cost FMV,Incremento/prz,,
Dumfries,Int,7,2,29,80,6.19,6.13,6.91,6.79,5.432,4.4814,45,45,51,,0.1508888889,1.86,,
Dimarco,int ,4,7,32,80,6.31,6.24,6.86,6.69,5.352,4.4154,40,43,50,,0.1555813953,1.69,,
Gosens,,5,3,32,85,6.12,6.14,6.59,6.68,5.678,4.4756,38,38,33,,0.1757894737,1.93,,
Bastoni,,1,4,32,85,6.42,6.24,6.55,6.43,5.4655,4.3081,35,35,35,,0.1837142857,1.24,,
Bremer,,0/4,0,6,80,6.13,6.15,6.37,6.39,5.112,4.2174,30,34,34,,0.1879411765,1.14,,
Cambiaso,,2,3,32,70,6.09,6.09,6.31,6.37,4.459,4.0768,25,33,23,,0.193030303,1.1,,
Di Lorenzo,,3,2,37,90,6.15,6.11,6.36,6.36,5.724,4.3248,25,32,27,,0.19875,1.11,,
Angelino,,2,1,38,80,6.14,6.01,6.32,6.32,5.056,4.1712,20,32,23,,0.1975,0.95,,
Bellanova,,0,9,35,80,6.04,6.01,6.26,6.26,5.008,4.1316,25,31,24,,0.2019354839,0.73,,
Spinazzola,,1,1,23,60,6.07,6.1,6.22,6.23,5.008,4.1316,10,5,15,,1.246,,,
Wesley,,,,,80,,5.97,,6.13,4.904,4.0458,30,30,22,,0.2043333333,0.2,,
Dodò,,0,5,35,90,6.19,6.02,6.21,6.15,5.535,4.182,27,28,21,,0.2196428571,0.31,,
Tavares,,0,7,23,70,6.28,6.16,6.5,6.4,4.48,4.096,20,27,19,,0.237037037,1.59,,
Buongiorno,,1,0,22,70,6.36,6.19,6.45,6.48,4.536,4.1472,26,26,20,,0.2492307692,2.1,,
Zortea,,6,2,35,80,6.07,5.99,6.6,6.21,4.968,4.0986,18,19,15,,0.3268421053,1.06,,
Rrahmani,,1,1,38,80,6.14,6.11,6.17,6.21,4.968,4.0986,20,18,13,fine settembre,0.345,1.16,,
Martin,,0,8,36,80,6.17,6,6.32,6.15,4.92,4.059,20,18,16,,0.3416666667,0.6,,
Estupinian,,,,,70,,6.06,,6.35,4.445,4.064,10,18,20,,0.3527777778,2.45,,
Mancini,,2,1,37,90,6.18,6.13,6.26,6.22,5.598,4.2296,20,17,15,,0.3658823529,1.38,,
Solet,,1,1,19,80,6.16,6,6.29,6.19,4.952,4.0854,22,17,20,,0.3641176471,1.07,,
Miranda,,0,6,29,80,6.05,5.99,6.16,6.1,4.88,4.026,15,16,8,,0.38125,0.17,,
Valeri,,2,5,34,80,5.94,5.92,6.25,6.1,4.27,3.904,15,15,13,,0.4066666667,0.19,,
Joao mario,,,,,60,,6.09,,6.29,3.834,3.9618,7,15,6,,0.4193333333,2.62,,
Kalulu,,1,0,28,70,6.02,6.02,6.05,6.08,4.256,3.8912,15,13,14,,0.4676923077,-0.09,,
Akanji,,,,,70,,6.07,,6.18,4.326,3.9552,13,12,12,,0.515,1.97,,
Pavlovic,,2,1,22,70,5.91,6.06,6.11,6.18,4.326,3.9552,15,12,10,,0.515,1.97,,
Vojvoda,,1,2,27,60,5.96,5.93,6.04,6.06,3.636,3.7572,10,12,8,,0.505,-0.52,,
Ramon,,,,,80,,5.92,,5.99,4.792,3.9534,10,11,7,,0.5445454545,-2.49,,
Hien,,,,,80,,5.92,,5.84,4.672,3.8544,10,11,11,?,0.5309090909,-6.43,,
Carlos augusto,,3,3,28,65,6.2,6.18,6.61,6.5,3.87,3.999,12,11,18,,0.5909090909,10.89,,
N'dicka,,0,0,38,75,6.05,6.05,6.03,6.03,4.5225,3.9195,7,10,11,,0.603,-1.96,,
Tomori,,0,1,18,70,5.86,6.07,5.81,6.16,4.312,3.9424,7,10,12,,0.616,2.67,,
Gatti,,1,0,28,70,6.14,6.07,6.21,6.13,4.291,3.9232,5,10,8,,0.613,1.6,,
Delprato,,4,0,34,70,6.03,5.95,6.21,5.99,4.193,3.8336,10,10,10,,0.599,,FMV 5/6 slot,Prz 5/6 slot
Zappacosta,,4,2,30,60,5.98,6.02,6.4,6.35,3.81,3.937,10,10,10,,0.635,,6.085,7.1875
Vasquez,,3,0,36,80,6.06,5.97,6.18,6.11,4.888,4.0326,15,9,9,,0.6788888889,,,
Gutierrez,,,,,60,,6.08,,6.39,3.834,3.9618,15,9,5,4a giornata,0.71,,,
Vitik,,,,,80,,5.9,,6.03,4.824,3.9798,6,7,9,,0.8614285714,,,
Luperto,,,,36,80,6,5.89,6.08,6,4.8,3.96,10,7,9,,0.8571428571,,,
Doig,,,,,70,,5.84,,5.99,4.193,3.8336,10,7,8,,0.8557142857,,,
Gila,,1,0,32,70,6.05,6.02,5.95,5.95,4.165,3.808,9,7,9,,0.85,,,
Olivera,,0,1,30,60,6.08,6.02,6.05,6.11,3.666,3.7882,5,7,6,,0.8728571429,,,
Acerbi,,0,1,21,50,6.07,6.1,6.12,6.24,3.12,3.744,10,7,10,,0.8914285714,,,
Beukema,,,,,60,,6.04,,6.1,3.05,3.66,10,7,9,,0.8714285714,,,
Lazaro,,0,6,31,70,5.98,5.97,6.08,6.09,4.263,3.8976,6,6,8,,1.015,,,
Mina,,,,31,70,6.06,5.86,6.06,6,4.2,3.84,5,6,9,,1,,,
Valle,,,,,70,,5.84,,5.91,4.137,3.7824,6,6,7,,0.985,,,
Kelly,,0,0,12,70,5.67,6.05,5.62,6.11,4.277,3.9104,2,5,7,,1.222,,,
Hermoso,,,,,70,,,,5.99,4.193,3.8336,5,5,5,,1.198,,,
Scalvini,,,,,70,,5.93,,5.96,4.172,3.8144,4,5,10,metà ottobre,1.192,,,
Biraghi,,,,,70,,5.85,,5.95,4.165,3.808,7,5,5,,1.19,,,
Comuzzo,,,,,70,,5.91,,5.94,4.158,3.8016,5,5,6,,1.188,,,
Bisseck,,,,27,50,6,6.07,6.33,6.24,3.12,3.744,5,5,7,,1.248,,,
De winter,,,,,50,,5.99,,6.1,3.05,3.66,8,5,5,,1.22,,,
Norton-cuffy,,,,,80,,,,6.01,0,0,3,5,5,,1.202,,,
Angori,,,,,80,,5.85,,5.99,4.792,3.9534,4,4,8,,1.4975,,,
Palestra,,,,,70,,5.91,,6.05,4.235,3.872,5,4,4,,1.5125,,,
Gaspar,,,,,70,,,,6.03,4.221,3.8592,5,4,6,,1.5075,,,
Romagnoli,,2,0,32,70,5.84,5.98,5.91,6.02,4.214,3.8528,8,4,9,,1.505,,,
Cuadrado,,0,2,20,60,6.08,6.12,6.1,6.36,3.816,3.9432,4,4,3,,1.59,,,
De vrij,,,,22,40,6.18,6.14,6.55,6.33,2.532,3.6714,5,4,9,,1.5825,,,
Baschirotto,,2,,38,85,5.86,5.82,5.97,5.88,4.998,3.9396,5,3,7,,1.96,,,
Marusic,,4,,31,70,5.85,5.86,6.16,6.01,4.207,3.8464,4,3,7,,2.003333333,,,
Gabbia,,,,25,60,6.04,6.02,6.2,6.13,3.678,3.8006,8,3,7,,2.043333333,,,
Kossounou,,,,,60,,5.9,,5.87,3.522,3.6394,3,3,5,,1.956666667,,,
Tsimikas,,,,,50,,5.97,,6.13,3.065,3.678,3,3,3,,2.043333333,,,
Ranieri,,,,,70,,,,6,0,0,3,3,5,,2,,,
Gallo,,,,,80,,,,5.99,0,0,3,3,4,,1.996666667,,,
Kristensen,,,,,80,,,,5.97,0,0,3,3,3,,1.99,,,
Idzes,,,,,80,,,,6.03,4.824,3.9798,5,2,4,,3.015,,,
F. Mussolini,,,,,60,,,,5.96,3.576,3.6952,3,2,1,,2.98,,,
Pezzella Giu.,,,,35,60,6.03,5.95,6.04,5.94,3.564,3.6828,3,2,1,,2.97,,,
Ismajli,tor,,,,70,,,,6.12,4.284,3.9168,5,1,5,,6.12,,,
Belghali,,,,,70,,5.85,,5.96,4.172,3.8144,1,1,,,5.96,,,
Ehizibue,,,,,70,,5.87,,5.94,4.158,3.8016,1,1,,,5.94,,,
Lucumi,,,,,70,,5.88,,5.8,4.06,3.712,1,1,1,,5.8,,,
Darmian,,3,2,26,50,6.08,6.07,6.37,6.31,3.786,3.9122,1,1,,,6.31,,,
Diego Carlos,Com,,,,60,,,,5.95,3.57,3.689,3,1,,,5.95,,,
Zanoli,,,,,50,,,,5.86,2.93,3.516,6,1,1,,5.86,,,
Coco,,,,,70,,,,5.95,0,0,1,1,1,,5.95,,,
Marì,,,,,70,,,,,0,0,3,,,,#DIV/0!,#DIV/0!,,
Heggem,,,,,60,,,,,0,0,2,,,,#DIV/0!,#DIV/0!,,
Ostigard,,,,,70,,,,,0,0,2,,,,#DIV/0!,#DIV/0!,,
Zappa,,,,,70,,,,,0,0,1,,,,#DIV/0!,#DIV/0!,,
Kempf,,,,,60,,,,,0,0,3,,,,#DIV/0!,#DIV/0!,,
Rensch,,,,,50,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Lazzari ,,,,,40,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Terraciano,,,,,40,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Idrissi,,,,,40,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Athekame,,,,,40,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Muharemovic,,,,,70,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Circati,,,,,60,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Van der brempt,,,,,60,,,,,0,0,1,,,fine settembre,#DIV/0!,#DIV/0!,,
Holm,,,,,60,,,,,0,0,3,,,seconda metà settembre,#DIV/0!,#DIV/0!,,
Frese,,,,,70,,,,,0,0,1,,,,#DIV/0!,#DIV/0!,,
Provstagaard,,,,,50,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Marcandalli,,,,,60,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Ahanor,,,,,40,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
Maripan,,,,,60,,,,,0,0,3,,,,#DIV/0!,#DIV/0!,,
Bertola,,,,,,,,,,0,0,3,,,,#DIV/0!,#DIV/0!,,
Posch,,,,,,,,,,0,0,3,,,,#DIV/0!,#DIV/0!,,
Barbieri,,,,,,,,,,0,0,1,,,,#DIV/0!,#DIV/0!,,
,,,,,,,,,,0,0,,,,,#DIV/0!,#DIV/0!,,
