Nome,Sqd,Gol,Assist,Presenze,Pr. Exp,MV,MVexp,FMV,FMVexp,FM eff Att,FM eff,Prz,Prz Medio,Prz mio,infortuni,Unit cost FMV
Meret + Milinkovic,,,,,,6.32,6.23,5.71,5.42,,,55,60,50,,0.09033333333
Sommer + martinez,,,,,,6.18,6.17,5.3,5.35,,,45,50,40,,0.107
Di Gregorio,,,,,,6.15,6.2,5.18,5.24,,,50,50,40,,0.1048
Svilar,,,,,,6.32,6.21,5.38,5.11,,,50,49,43,,0.1042857143
Maignan + Terracciano,,,,,,6.18,6.17,5.14,5.25,,,45,47,41,,0.1117021277
Carnesecchi,,,,,,6.34,6.23,5.32,5,,,40,40,35,,0.125
De Gea,,,,,,6.34,6.2,5.41,5.08,,,40,37,30,,0.1372972973
provedel + mandas,laz,,,,,5.98,6.09,4.53,4.66,,,30,30,26,,0.1553333333
Skorupski + ravaglia,,,,,,6.17,6.17,5.04,4.88,,,25,20,25,,0.244
Butez,como,,,,,6.22,6.18,5.22,4.87,,,20,17,16,,0.2864705882
Leali,gen,,,,,6.16,6.17,5.1,4.84,,,15,10,15,,0.484
Caprile,cag,,,,,6.2,6.22,5.16,4.87,,,15,8,13,,0.60875
Israel,tor,,,,,,6.17,,4.83,,,10,7,13,,0.69
Falcone,lec,,,,,6.26,6.23,4.79,4.73,,,10,7,6,,0.6757142857
Suzuki,par,,,,,,6.22,,4.76,,,10,5,5,,0.952
Sava,udi,,,,,,6.21,,4.76,,,5,3,4,,1.586666667
montipo,ver,,,,,6.19,6.15,4.44,4.5,,,1,3,7,,1.5
audero,cremonese,,,,,,6.15,,4.59,,,7,2,7,,2.295
Muric,sas,,,,,,,,4.75,,,1,1,6,,4.75
semper,pisa,,,,,,6.1,,4.37,,,1,1,4,,4.37
milinkovic-savic,nap,,,,,6.3,6.17,5.45,5.23,,,,,,15,#DIV/0!
perin,juv,,,,,,,,,,,,,,,#DIV/0!
martinez jos,inter,,,,,,,,,,,,,,,#DIV/0!
terracciano,milan,,,,,,,,,,,,,,,#DIV/0!
ravaglia,bol,,,12,,,6.15,,4.98,,,,,,,#DIV/0!
vasquez,rom,,,,,,,,,,,,,,,#DIV/0!
torriani,milan,,,,,,,,,,,,,,,#DIV/0!
mandas,laz,,,9,,6.28,6.16,5.5,5.03,,,,,,5,
