name,pr_exp,fmv_exp,price,role
Meret + Milinkovic,100.0,5.42,60,P
Sommer + martinez,100.0,5.35,50,P
Di Gregorio,100.0,5.24,50,P
Svilar,100.0,5.11,49,P
Maignan + Terracciano,100.0,5.25,47,P
Carnesecchi,100.0,5.0,40,P
De Gea,100.0,5.08,37,P
provedel + mandas,100.0,4.66,30,P
Skorupski + ravaglia,100.0,4.88,20,P
Butez,100.0,4.87,17,P
Leali,100.0,4.84,10,P
Caprile,100.0,4.87,8,P
Israel,100.0,4.83,7,P
Falcone,100.0,4.73,7,P
Suzuki,100.0,4.76,5,P
Sava,100.0,4.76,3,P
montipo,100.0,4.5,3,P
audero,100.0,4.59,2,P
Muric,100.0,4.75,1,P
semper,100.0,4.37,1,P
Dumfries,80.0,6.79,45,D
Dimarco,80.0,6.69,43,D
Gosens,85.0,6.68,38,D
Bastoni,85.0,6.43,35,D
Bremer,80.0,6.39,34,D
Cambiaso,70.0,6.37,33,D
Di Lorenzo,90.0,6.36,32,D
Angelino,80.0,6.32,32,D
Bellanova,80.0,6.26,31,D
Spinazzola,60.0,6.23,5,D
Wesley,80.0,6.13,30,D
Dodò,90.0,6.15,28,D
Tavares,70.0,6.4,27,D
Buongiorno,70.0,6.48,26,D
Zortea,80.0,6.21,19,D
Rrahmani,80.0,6.21,18,D
Martin,80.0,6.15,18,D
Estupinian,70.0,6.35,18,D
Mancini,90.0,6.22,17,D
Solet,80.0,6.19,17,D
Miranda,80.0,6.1,16,D
Valeri,80.0,6.1,15,D
Joao mario,60.0,6.29,15,D
Kalulu,70.0,6.08,13,D
Akanji,70.0,6.18,12,D
Pavlovic,70.0,6.18,12,D
Vojvoda,60.0,6.06,12,D
Ramon,80.0,5.99,11,D
Hien,80.0,5.84,11,D
Carlos augusto,65.0,6.5,11,D
N'dicka,75.0,6.03,10,D
Tomori,70.0,6.16,10,D
Gatti,70.0,6.13,10,D
Delprato,70.0,5.99,10,D
Zappacosta,60.0,6.35,10,D
Vasquez,80.0,6.11,9,D
Gutierrez,60.0,6.39,9,D
Vitik,80.0,6.03,7,D
Luperto,80.0,6.0,7,D
Doig,70.0,5.99,7,D
Gila,70.0,5.95,7,D
Olivera,60.0,6.11,7,D
Acerbi,50.0,6.24,7,D
Beukema,60.0,6.1,7,D
Lazaro,70.0,6.09,6,D
Mina,70.0,6.0,6,D
Valle,70.0,5.91,6,D
Kelly,70.0,6.11,5,D
Hermoso,70.0,5.99,5,D
Scalvini,70.0,5.96,5,D
Biraghi,70.0,5.95,5,D
Comuzzo,70.0,5.94,5,D
Bisseck,50.0,6.24,5,D
De winter,50.0,6.1,5,D
Norton-cuffy,80.0,6.01,5,D
Angori,80.0,5.99,4,D
Palestra,70.0,6.05,4,D
Gaspar,70.0,6.03,4,D
Romagnoli,70.0,6.02,4,D
Cuadrado,60.0,6.36,4,D
De vrij,40.0,6.33,4,D
Baschirotto,85.0,5.88,3,D
Marusic,70.0,6.01,3,D
Gabbia,60.0,6.13,3,D
Kossounou,60.0,5.87,3,D
Tsimikas,50.0,6.13,3,D
Ranieri,70.0,6.0,3,D
Gallo,80.0,5.99,3,D
Kristensen,80.0,5.97,3,D
Idzes,80.0,6.03,2,D
F. Mussolini,60.0,5.96,2,D
Pezzella Giu.,60.0,5.94,2,D
Ismajli,70.0,6.12,1,D
Belghali,70.0,5.96,1,D
Ehizibue,70.0,5.94,1,D
Lucumi,70.0,5.8,1,D
Darmian,50.0,6.31,1,D
Diego Carlos,60.0,5.95,1,D
Zanoli,50.0,5.86,1,D
Coco,70.0,5.95,1,D
Mctominay,80.0,7.31,82,C
Paz N.,85.0,7.1,80,C
Pulisic,80.0,7.34,78,C
Orsolini,75.0,7.58,75,C
Zaccagni,90.0,7.05,73,C
Gudmundson,70.0,7.15,67,C
De Bruyne,75.0,7.04,67,C
Conceicao,65.0,6.77,48,C
Calhanoglu,80.0,6.9,45,C
Barella,80.0,6.52,38,C
Politano,80.0,6.59,35,C
Thuram K.,80.0,6.54,34,C
Odgaard,70.0,6.85,34,C
Rabiot,85.0,6.6,34,C
Zhegrova,65.0,6.82,30,C
Isaksen,70.0,6.61,25,C
Kone,80.0,6.45,24,C
Modric,70.0,6.63,24,C
Zambo Anguissa,80.0,6.58,23,C
Vlasic,80.0,6.55,23,C
Sucic,60.0,6.52,23,C
Ederson,80.0,6.37,22,C
Tramoni,80.0,6.4,21,C
Neres,60.0,6.7,20,C
